Date	Open	High	Low	Close	Change (Pips)	Change (%)
Oct 28, 2015 00:00	6371.4	6456.3	6355	6452.8	+81.4	+1.26%
Oct 27, 2015 00:00	6411.2	6417	6356.8	6377	-34.2	-0.54%
Oct 26, 2015 00:00	6440.9	6452.8	6403	6415.3	-25.6	-0.40%
Oct 23, 2015 00:00	6415.1	6488.5	6396.3	6441.1	+26.0	+0.40%
Oct 22, 2015 00:00	6316.3	6414.5	6303.2	6413.5	+97.2	+1.52%
Oct 21, 2015 00:00	6338.1	6387.8	6302.4	6314.9	-23.2	-0.37%
Oct 20, 2015 00:00	6356.6	6368.5	6318.3	6337.9	-18.7	-0.30%
Oct 19, 2015 00:00	6382.2	6408	6331.8	6355.4	-26.8	-0.42%
Oct 16, 2015 00:00	6392	6407.3	6355.8	6389.6	-2.4	-0.04%
Oct 15, 2015 00:00	6260.2	6396	6257.3	6391.4	+131.2	+2.05%
Oct 14, 2015 00:00	6287.6	6316.5	6255	6260.6	-27.0	-0.43%
Oct 13, 2015 00:00	6385.7	6386	6279.6	6286.8	-98.9	-1.57%
Oct 12, 2015 00:00	6397.8	6412.8	6351	6384.5	-13.3	-0.21%
Oct 09, 2015 00:00	6430.1	6453.5	6386.3	6408.8	-21.3	-0.33%
Oct 08, 2015 00:00	6375.7	6435.3	6301.5	6430.5	+54.8	+0.85%
Oct 07, 2015 00:00	6287.4	6396.3	6272.8	6376.1	+88.7	+1.39%
Oct 06, 2015 00:00	6331.6	6343.8	6253.3	6287.8	-43.8	-0.70%
Oct 05, 2015 00:00	6227.6	6343.2	6202	6331.2	+103.6	+1.64%
Oct 02, 2015 00:00	6105.9	6238.4	6049.5	6235.8	+129.9	+2.08%
Oct 01, 2015 00:00	6058.3	6174.5	6034	6104.6	+46.3	+0.76%
Sep 30, 2015 00:00	5927.2	6082.3	5920.1	6060.5	+133.3	+2.20%
Sep 29, 2015 00:00	5936.4	5953.3	5873	5926.4	-10.0	-0.17%
Sep 28, 2015 00:00	6073.4	6100.8	5909.8	5936	-137.4	-2.31%
Sep 25, 2015 00:00	6017.8	6133	5998.4	6073	+55.2	+0.91%
Sep 24, 2015 00:00	6030.1	6055.8	5945.8	6017	-13.1	-0.22%
Sep 23, 2015 00:00	5954	6069	5877	6036.2	+82.2	+1.36%
Sep 22, 2015 00:00	6124.7	6128.3	5927.8	5954.6	-170.1	-2.86%
Sep 21, 2015 00:00	6106.8	6169.8	6067.2	6125.5	+18.7	+0.31%
Sep 18, 2015 00:00	6167.5	6187.3	6062.3	6105.8	-61.7	-1.01%
Sep 17, 2015 00:00	6263.6	6266.9	6146.5	6164.3	-99.3	-1.61%
Sep 16, 2015 00:00	6178	6266.6	6147	6264.6	+86.6	+1.38%
Sep 15, 2015 00:00	6094.2	6184	6017.5	6179.4	+85.2	+1.38%
Sep 14, 2015 00:00	6161.9	6200.1	6063.5	6094.4	-67.5	-1.11%
Sep 11, 2015 00:00	6170.6	6194.4	6112.8	6161.3	-9.3	-0.15%
Sep 10, 2015 00:00	6167.4	6217.5	6124.8	6169.2	+1.8	+0.03%
Sep 09, 2015 00:00	6162.9	6298.3	6148.3	6162.7	-0.2	+0.00%
Sep 08, 2015 00:00	6073.6	6197.8	6067.1	6163.7	+90.1	+1.46%
Sep 07, 2015 00:00	6013.1	6126	6013.1	6076	+62.9	+1.04%
